year,count,mean,median,std,min,max,yoy_change
1960,1,5.8141,5.8141,,5.8141,5.8141,
1961,1,8.2832,8.2832,,8.2832,8.2832,42.467449820264555
1962,1,4.6971,4.6971,,4.6971,4.6971,-43.293654626231415
1963,1,26.3554,26.3554,,26.3554,26.3554,461.0994017585319
1964,1,17.0724,17.0724,,17.0724,17.0724,-35.22238326870395
1965,1,7.5907,7.5907,,7.5907,7.5907,-55.53817858063306
1966,1,16.7282,16.7282,,16.7282,16.7282,120.37756728628453
1967,1,8.3282,8.3282,,8.3282,8.3282,-50.21460766848794
1968,1,7.4475,7.4475,,7.4475,7.4475,-10.574914147114633
1969,1,6.9817,6.9817,,6.9817,6.9817,-6.254447801275598
1970,1,6.9086,6.9086,,6.9086,6.9086,-1.0470229313777502
1971,1,12.0567,12.0567,,12.0567,12.0567,74.51726833222361
1972,1,12.0253,12.0253,,12.0253,12.0253,-0.26043610606550915
1973,1,22.5989,22.5989,,22.5989,22.5989,87.92795190140788
1974,1,22.5806,22.5806,,22.5806,22.5806,-0.08097739270495063
1975,1,25.188,25.188,,25.188,25.188,11.547080237017603
1976,1,18.9189,18.9189,,18.9189,18.9189,-24.889232968080034
1977,1,34.0909,34.0909,,34.0909,34.0909,80.19493733779446
1978,1,17.5141,17.5141,,17.5141,17.5141,-48.625292966744794
1979,1,24.1987,24.1987,,24.1987,24.1987,38.16696261869008
1980,1,26.5806,26.5806,,26.5806,26.5806,9.843090744544124
1981,1,27.5229,27.5229,,27.5229,27.5229,3.5450667027832283
1982,1,24.7002,24.7002,,24.7002,24.7002,-10.255823332570335
1983,1,19.4872,19.4872,,19.4872,19.4872,-21.10509226645937
1984,1,16.3627,16.3627,,16.3627,16.3627,-16.033601543577326
1985,1,23.9742,23.9742,,23.9742,23.9742,46.51738405030954
1986,1,18.8546,18.8546,,18.8546,18.8546,-21.354622886269404
1987,1,23.3104,23.3104,,23.3104,23.3104,23.632429221516226
1988,1,28.1401,28.1401,,28.1401,28.1401,20.719078179696602
1989,1,25.8614,25.8614,,25.8614,25.8614,-8.097696880963468
1990,1,29.1378,29.1378,,29.1378,29.1378,12.669074373390444
1991,1,30.3484,30.3484,,30.3484,30.3484,4.1547405775316015
1992,1,27.0306,27.0306,,27.0306,27.0306,-10.932372052562911
1993,1,22.4413,22.4413,,22.4413,22.4413,-16.97816548652269
1994,1,22.8472,22.8472,,22.8472,22.8472,1.808718746240201
1995,1,20.8971,20.8971,,20.8971,20.8971,-8.535400399173653
1996,1,20.7971,20.7971,,20.7971,20.7971,-0.4785352991563352
1997,1,18.4626,18.4626,,18.4626,18.4626,-11.225122733458036
1998,1,18.6813,18.6813,,18.6813,18.6813,1.1845568879789603
1999,1,10.8734,10.8734,,10.8734,10.8734,-41.79527120703591
2000,1,9.2226,9.2226,,9.2226,9.2226,-15.182003789063225
2001,1,7.9697,7.9697,,7.9697,7.9697,-13.585106152278104
2002,1,6.3519,6.3519,,6.3519,6.3519,-20.299383916584055
2003,1,7.1307,7.1307,,7.1307,7.1307,12.260898313890344
2004,1,5.9013,5.9013,,5.9013,5.9013,-17.240944086835796
2005,1,5.0514,5.0514,,5.0514,5.0514,-14.401911443241321
2006,1,4.2925,4.2925,,4.2925,4.2925,-15.023557825553302
2007,1,5.5451,5.5451,,5.5451,5.5451,29.181129877693635
2008,1,6.9986,6.9986,,6.9986,6.9986,26.212331608086426
2009,1,4.201,4.201,,4.201,4.201,-39.97370902751979
2010,1,2.2712,2.2712,,2.2712,2.2712,-45.936681742442275
2011,1,3.4176,3.4176,,3.4176,3.4176,50.475519549137026
2012,1,3.1673,3.1673,,3.1673,3.1673,-7.323852996254687
2013,1,2.0181,2.0181,,2.0181,2.0181,-36.2832696618571
2014,1,2.8978,2.8978,,2.8978,2.8978,43.59050592141123
2015,1,4.9902,4.9902,,4.9902,4.9902,72.2065014838843
2016,1,7.5143,7.5143,,7.5143,7.5143,50.58113903250372
2017,1,4.3121,4.3121,,4.3121,4.3121,-42.61474788070745
2018,1,3.2402,3.2402,,3.2402,3.2402,-24.857957839567725
2019,1,3.5255,3.5255,,3.5255,3.5255,8.805012036294046
2020,1,2.5246,2.5246,,2.5246,2.5246,-28.390299248333573
